clusters4,Features4,weights
0,life,0.28900506576390467
0,community,0.2601635945526961
0,impact,0.2402505193925449
0,initiative,0.23583502353114255
0,help,0.20770733984892026
0,active,0.11496786228867728
0,heritage,0.10088361128886082
0,engage,0.08471833795246139
0,art,0.08260445939546995
0,culture,0.07986192263278415
0,building,0.07913343371847532
0,physical,0.07761592043490412
0,enhance,0.06234156632219612
0,program,0.06123963087502222
0,activity,0.053574647784078916
0,support,0.0389873839289347
0,space,0.03763895351340313
0,cultural,0.03584841926553562
0,need,0.0351526625739974
0,accessible,0.030761837781415467
0,new,0.029650488391374026
0,participate,0.029061917910068128
0,access,0.028000411846086214
0,opportunity,0.026320782768746148
0,expand,0.02527107633101424
0,skill,0.024947106559902964
0,improve,0.02480399979742581
0,create,0.024157230051513875
0,learn,0.024062799464200597
0,develop,0.02311228452499753
0,install,0.02165974211263487
0,service,0.021210415533666722
0,upgrade,0.020991029737747594
0,food,0.020924865999948843
0,youth,0.018976998779957798
0,deliver,0.018400848345531195
0,build,0.01809111188587189
0,resource,0.017970178847292344
0,purchase,0.017931180113403705
0,group,0.017102788998949153
0,assist,0.0167915124365493
0,provide,0.016654140890919645
0,work,0.016386218867256438
0,make,0.01633926968806602
0,equipment,0.016236140864439256
0,replace,0.01613248224816979
0,social,0.01596780758895732
0,renovate,0.015401012220425973
0,plan,0.015134368505353072
0,hire,0.014996653445916872
0,staff,0.01495973201701401
0,centre,0.013563288164450196
0,disability,0.01323530950671275
0,cost,0.013173919030873697
0,senior,0.013112754239244384
0,training,0.01223956483921808
0,woman,0.011718439483083737
0,local,0.011423717080767866
0,increase,0.01109894317435862
0,area,0.010908215900596723
0,workshop,0.009847460231069395
0,school,0.008699798722226888
0,adult,0.008663653147068769
0,volunteer,0.008661716336594728
0,education,0.008637128184056918
0,project,0.008626151587464726
0,child,0.008431257732258397
0,age,0.008370337736872426
0,region,0.008279495679201377
0,coordinator,0.008139874631591815
0,resident,0.007843540442462089
0,implement,0.007225700940657112
0,young,0.007224478726752905
0,facility,0.006940884441248062
0,promote,0.006879904249722717
0,family,0.006603048179854354
0,health,0.006558022771884743
0,sport,0.005988781615438451
0,development,0.005904569091200388
0,establish,0.005322022071498403
0,quality,0.004723899245672287
0,county,0.004708891988327074
0,ensure,0.00453358535805504
0,offer,0.00452509695979482
0,safety,0.004347807070512182
0,enable,0.0042901200393225805
0,club,0.0038425765491211343
0,recreational,0.003685998542005395
0,public,0.003216125321642723
0,awareness,0.003136740956013022
0,member,0.002833875322509692
0,event,0.00277690803286291
0,capacity,0.002488199148334283
0,organization,0.0021998059540103247
0,festival,0.0021980081531476747
0,continue,0.0020111884765852965
0,order,0.0019689012502979056
0,purchasing,0.0018105477713188513
0,include,0.0017531309478866842
0,fund,0.0005754025432865412
1,purchase,0.2473673883751006
1,equipment,0.24435489725744075
1,new,0.08970658260436161
1,community,0.06187593780593434
1,safety,0.058657472339087344
1,program,0.056134728190935165
1,provide,0.053324929801385555
1,enhance,0.05251057005139971
1,increase,0.05150366553024869
1,improve,0.05037390142476369
1,purchasing,0.047997566006395626
1,club,0.045042074089202355
1,enable,0.037213055811053435
1,area,0.037122567200170445
1,training,0.03686887416761851
1,organization,0.03532355787547671
1,sport,0.03370698106749081
1,help,0.03347287465859742
1,quality,0.03291325492132522
1,facility,0.03226801357696012
1,activity,0.0319165001217234
1,support,0.031500126311654296
1,upgrade,0.03143485362227238
1,child,0.031363826756111574
1,youth,0.030099617010450542
1,member,0.029047508707081764
1,staff,0.02814517050115166
1,install,0.02790209823353241
1,age,0.027763341783564224
1,recreational,0.027061326842889977
1,service,0.02635428650765406
1,event,0.026241281654698575
1,volunteer,0.025815330807803773
1,order,0.025374161888786897
1,access,0.024130099518244994
1,senior,0.02298513360539951
1,continue,0.022741124985852314
1,cost,0.022680733657915886
1,opportunity,0.022575439146414637
1,participate,0.022094387880326728
1,replace,0.02138748944707625
1,ensure,0.02122783813419179
1,capacity,0.0200135674430052
1,group,0.019922724215446247
1,make,0.019860106902899705
1,centre,0.019621028873341093
1,space,0.019559773799335586
1,physical,0.01943591426575421
1,local,0.018794538307265195
1,accessible,0.018532683614853298
1,hire,0.018183563388027044
1,offer,0.01787185942288911
1,assist,0.01778943556411439
1,expand,0.016847112605106768
1,public,0.015800108390394446
1,need,0.015121123538911754
1,festival,0.014600358161172111
1,resident,0.014578466589810303
1,disability,0.014443395771004116
1,develop,0.013994233134980438
1,deliver,0.013801685718706455
1,promote,0.013702815522671195
1,young,0.013700613296092009
1,skill,0.013338610726914057
1,health,0.013212459480143362
1,create,0.012679256751597149
1,include,0.012375698772991228
1,art,0.01233989841514468
1,county,0.012174329273579875
1,renovate,0.012116755847736966
1,development,0.011325073581562315
1,cultural,0.010741908866737782
1,learn,0.009913346986085689
1,adult,0.009744260682159266
1,resource,0.009373686691477536
1,family,0.008528592847332806
1,building,0.00842829746960417
1,region,0.008176359738009634
1,food,0.008123356870746074
1,social,0.008033924315405441
1,establish,0.007893890973776544
1,fund,0.007558736577152284
1,implement,0.007290660330785937
1,work,0.007289050750117476
1,active,0.007159827282562781
1,impact,0.0069998513915574805
1,woman,0.006362953906693338
1,school,0.005800028101089897
1,awareness,0.005690863777823074
1,plan,0.005669167385313623
1,workshop,0.005402104948387785
1,heritage,0.005363305754307569
1,coordinator,0.005160286754246397
1,build,0.005127783523101544
1,education,0.00469990586416463
1,engage,0.004366948480091217
1,project,0.004084107344492666
1,culture,0.004049742527224402
1,initiative,0.00291578127382681
1,life,0.0017010568596936445
2,community,0.08541672724352183
2,program,0.07246682182443244
2,support,0.06959254497838016
2,increase,0.061362405485828116
2,provide,0.055120192554360986
2,organization,0.054137789499803815
2,develop,0.050984136566258484
2,service,0.04836541303190516
2,volunteer,0.04420638857236061
2,capacity,0.0432182428831802
2,new,0.03848904646626204
2,area,0.037496447444811724
2,facility,0.03632989194635138
2,improve,0.03413255818857959
2,enhance,0.03354556545689472
2,centre,0.03341810112798559
2,hire,0.03309813178793376
2,staff,0.03278404423045606
2,help,0.031661569177241985
2,development,0.031627722593546764
2,local,0.02992363793771729
2,activity,0.029424446482744254
2,cost,0.029288557269583654
2,training,0.02838615683473213
2,plan,0.02798394379110587
2,create,0.027690381175144753
2,build,0.02681673333959197
2,coordinator,0.026614042379154414
2,make,0.02656956506222566
2,accessible,0.02609443278137158
2,project,0.02601161607526981
2,access,0.02589673539448854
2,group,0.02488993890664976
2,expand,0.024360939512208305
2,resource,0.02429799384445971
2,building,0.02414587349189148
2,art,0.024022103083980843
2,awareness,0.02370515088627887
2,space,0.02351351217819869
2,county,0.023285394040784443
2,implement,0.02320992915291048
2,member,0.02313758011424525
2,renovate,0.023113256618455334
2,promote,0.02309430044599431
2,event,0.022690494919390364
2,upgrade,0.02232832929641585
2,assist,0.021944609853235812
2,festival,0.021875182632962537
2,need,0.021784064803008638
2,public,0.02171771987915597
