clusters4,Features4,weights
0,life,0.2890050657639047
0,community,0.2601635945526961
0,impact,0.2402505193925449
0,initiative,0.2358350235311425
0,help,0.20770733984892026
1,purchase,0.2473673883751006
1,equipment,0.24435489725744075
1,new,0.08970658260436161
1,community,0.06187593780593434
1,safety,0.05865747233908735
2,community,0.08541672724352183
2,program,0.07246682182443244
2,support,0.06959254497838016
2,increase,0.06136240548582812
2,provide,0.05512019255436098
3,youth,0.31043994018745275
3,child,0.18120173821900493
3,program,0.1416033322041448
3,skill,0.09482896059664704
3,support,0.09383034768687776
