clusters6,Features6,weights
0,program,0.09714526496741822
0,support,0.09210397868647986
0,develop,0.06528627925593568
0,community,0.06406172928216003
0,provide,0.05793131367728108
1,youth,0.3718776795261417
1,child,0.1550218624583843
1,program,0.13052493432826506
1,skill,0.10220578315521714
1,support,0.09675018700258628
2,purchase,0.301452120069705
2,equipment,0.2416354125100611
2,new,0.09722544672982827
2,community,0.060136509222239024
2,safety,0.05624525978581719
3,community,0.135744859762622
3,facility,0.13167112752443708
3,accessible,0.09106687042048256
3,make,0.08533037775785647
3,renovate,0.07984152935030066
4,capacity,0.4380372594072632
4,organization,0.15511309545981808
4,increase,0.13802829510619274
4,build,0.13113067585807098
4,program,0.07376784302113178
5,life,0.29121448848951154
5,community,0.2549961023674146
5,impact,0.2422888890937475
5,initiative,0.2374058555180512
5,help,0.20914295029933785
