clusters8,Features8,weights
0,purchase,0.3074295390327661
0,equipment,0.24295378167001663
0,new,0.0944723626278356
0,community,0.06319848431325908
0,provide,0.05946550192268183
0,program,0.05250350057719779
0,enhance,0.05230970652207971
0,increase,0.04955223106079457
0,club,0.04647779991118845
0,improve,0.045161912863475755
0,enable,0.044656426473450916
0,area,0.042525431257980355
0,child,0.03855228043129952
0,help,0.037854180514252954
0,organization,0.03690216100967174
0,sport,0.0368422386513751
0,youth,0.03573543795641015
0,quality,0.034618242232477024
0,activity,0.032230312624636756
0,training,0.031958586297231195
0,member,0.029875470904102624
0,service,0.029754429639266385
0,age,0.029634382629912737
0,order,0.02938782620923135
0,support,0.028152045022964308
0,recreational,0.027228702168730384
0,event,0.027037168692484886
0,access,0.026640267248148563
0,opportunity,0.02655821199148005
0,volunteer,0.025848843899567486
0,senior,0.025182048325671495
0,participate,0.02454650084097686
0,install,0.024481157115342777
0,continue,0.022621950373956385
0,upgrade,0.022607150067850076
0,facility,0.022288636209235917
0,local,0.021969508959271723
0,group,0.021327388249938066
0,centre,0.020386360574442874
0,physical,0.01963142367036871
0,offer,0.01861022816185971
0,expand,0.018309032910963714
0,public,0.0170058595710467
0,purchasing,0.01668571056972844
0,disability,0.016367944803777543
0,resident,0.01580224770197499
0,festival,0.015397798256112566
0,need,0.015202071467831446
0,promote,0.01503866353982555
0,assist,0.015003700262673326
0,young,0.01486853343149235
0,skill,0.014705087873586322
0,ensure,0.01440261475454305
0,make,0.014291895531165616
0,replace,0.014287777114433717
0,include,0.013540987051296421
0,art,0.012996778285672615
0,learn,0.012863851095006597
0,space,0.01249287620783931
0,develop,0.012396640638748471
0,development,0.012322226033753434
0,county,0.012266039944862136
0,staff,0.011705282997691585
0,create,0.01137878115423276
0,cultural,0.011375454650220402
0,cost,0.011176566617816804
0,resource,0.011120030992466598
0,hire,0.011094457966631504
0,accessible,0.011074314014541205
0,adult,0.010942104290826123
0,establish,0.009581403665196464
0,food,0.009266199037024178
0,fund,0.009169627209578507
0,family,0.008684836712951213
0,region,0.008673987762569498
0,social,0.007996546792872134
0,active,0.007954746940498787
0,renovate,0.007928302554148389
0,school,0.007684938367161978
0,woman,0.007553741578716208
0,work,0.0075171051686707385
0,awareness,0.007022347877051625
0,implement,0.007005326805128971
0,deliver,0.006208105432954399
0,building,0.0061433310608990785
0,plan,0.005586215553766211
0,health,0.005422724267138078
0,heritage,0.005089183055383031
0,education,0.005008892787898257
0,workshop,0.004983911372108805
0,coordinator,0.004678497913253533
0,build,0.00441684546314524
0,project,0.004203709594028517
0,engage,0.003882517500719527
0,culture,0.0037764575074317754
