clusters6,Features6,weights
0,program,0.09714526496741822
0,support,0.09210397868647986
0,develop,0.06528627925593568
0,community,0.06406172928216003
0,provide,0.05793131367728107
0,service,0.05354911326167087
0,increase,0.051486104471026056
0,volunteer,0.05110900459392978
0,organization,0.0466016152533406
0,staff,0.04567065598106683
0,hire,0.04337175279204172
0,cost,0.03845224573350272
0,development,0.038424141852062395
0,training,0.037589713853761926
0,plan,0.03437077734579442
0,new,0.034124597976525076
0,area,0.033987617134377916
0,coordinator,0.033167279940275685
0,help,0.0331393088422307
0,project,0.032753825682486054
0,implement,0.03169968764036945
0,local,0.03163607615148821
0,awareness,0.03058751227609759
0,enhance,0.03052538960565817
0,expand,0.029814653804846443
0,assist,0.02961932815913407
0,promote,0.02945097342002327
0,child,0.029229019273075644
0,resource,0.02886483070542128
0,festival,0.028696283426871763
0,county,0.028472366193861717
0,create,0.02819241299800312
0,art,0.02800514932452856
0,family,0.026913903982615898
0,deliver,0.026365218507151997
0,purchasing,0.02540773081874754
0,need,0.025276119173329
0,school,0.02507329462270882
0,health,0.02467766121154629
0,region,0.02455318342709264
0,establish,0.024533323031467855
0,event,0.024176033029263848
0,activity,0.024062076687207383
0,opportunity,0.023709609440118427
0,public,0.022910564636940547
0,education,0.02281469397220548
0,woman,0.021991019230083102
0,work,0.02176978944674583
0,fund,0.021105226065160833
0,centre,0.02090187609530484
0,workshop,0.020245725624711663
0,cultural,0.02006259334718163
0,improve,0.019494079862668937
0,enable,0.01940295813148413
0,disability,0.019289105523962853
0,access,0.01904909590519972
0,group,0.018980104189596666
0,social,0.01892473453676247
0,equipment,0.018554032605742548
0,skill,0.018519777370260282
0,senior,0.017612648014943146
0,young,0.01701454207588031
0,include,0.01698841748980644
0,order,0.016878813934367937
0,heritage,0.016760223774982253
0,member,0.016206137775616542
0,resident,0.015831214147186527
0,food,0.015787943888552813
0,offer,0.01577727120877851
0,learn,0.015435067326281826
0,build,0.015353918042513823
0,initiative,0.014770340675173391
0,continue,0.014561626861206062
0,engage,0.013842838728427587
0,impact,0.013074843400216729
0,adult,0.012697566740729808
0,quality,0.011556623558325827
0,ensure,0.01145703394737835
0,sport,0.011456025287340557
0,age,0.011257797971745849
0,safety,0.01101432282349787
0,physical,0.010594707167244186
0,culture,0.009507153409147623
0,space,0.00936010938740347
0,recreational,0.009148394817923386
0,participate,0.008888306639159963
0,building,0.008067563854920957
0,club,0.00803135958107014
0,upgrade,0.007282400692466765
0,make,0.006181142998918046
0,active,0.005771198486302731
0,youth,0.005752857598465479
0,life,0.005690672646892627
0,accessible,0.003930425656780258
0,facility,0.0039206559946821365
0,purchase,0.0034206650387403736
0,renovate,0.0027992961149971084
0,replace,0.0013740158354300443
0,install,0.001098886327577021
0,capacity,0.0005154753089829218
1,youth,0.37187767952614165
1,child,0.1550218624583843
1,program,0.13052493432826504
1,skill,0.10220578315521714
1,support,0.09675018700258627
1,community,0.0777005688485893
1,provide,0.0680233789136814
1,development,0.06435543780407578
1,develop,0.06411585800887007
1,help,0.05445608746521428
1,initiative,0.048280667678460044
1,social,0.04773521279032414
1,opportunity,0.045951872620136766
1,life,0.0419742588349468
1,expand,0.039203071528957946
1,increase,0.03710137413785762
1,adult,0.036741023113793736
1,impact,0.035190291557746806
1,school,0.03487258438995718
1,create,0.034372035750466254
1,training,0.034201966644106074
1,age,0.03415371492747131
1,area,0.03360519211145478
1,activity,0.03234051657239583
1,project,0.028000792157697612
1,learn,0.02730595134145818
1,service,0.026930347697331044
1,volunteer,0.026611150169901676
1,art,0.02634405549289606
1,deliver,0.025871113076128525
1,new,0.025456169286002122
1,recreational,0.025071263710216975
1,centre,0.02394704707185272
1,staff,0.023795403739909435
1,young,0.023777191352894717
1,workshop,0.022894794327342143
1,engage,0.022804157863143586
1,enhance,0.02277137717565178
1,offer,0.02126117774146579
1,implement,0.020862207639060847
1,family,0.020739784109567172
1,organization,0.02067665934147184
1,education,0.020452972739923605
1,cost,0.020322179677154082
1,hire,0.020283871830016748
1,sport,0.02021142590897442
1,local,0.018885979682196994
1,coordinator,0.018052993847845186
1,build,0.017900983136755606
1,participate,0.017637206418432076
1,enable,0.01715817151444682
1,promote,0.017000359240913587
1,equipment,0.016986174103177577
1,purchase,0.016828168447615758
1,health,0.016684099159403724
1,region,0.01662928683478415
1,work,0.016155945656208384
1,county,0.015808119101300325
1,cultural,0.015267920862920089
1,need,0.015104752792783485
1,improve,0.015029838507172405
1,fund,0.014786304402691236
1,space,0.014769889775902219
1,assist,0.014708163857336462
1,establish,0.014686104212362482
1,include,0.014240542846593252
1,access,0.013947999199083001
1,resource,0.013368609328576498
1,physical,0.01334485490314532
1,awareness,0.01183673205343577
1,group,0.011495504992951678
1,club,0.011230531549742642
1,senior,0.011215682695953352
1,plan,0.01103390204123063
1,disability,0.010852436408471357
1,building,0.010243085349185506
1,continue,0.00930987547431187
1,order,0.009000967666519477
1,make,0.008429619101778533
1,event,0.008375429414189181
1,festival,0.007925880493028049
1,active,0.0076575665247285716
1,member,0.007406684730348331
1,culture,0.007359915069260673
1,facility,0.006807170465890684
1,renovate,0.0065054345656967855
1,safety,0.006014075431762835
1,purchasing,0.005953112310522821
1,quality,0.0055653848457393575
1,install,0.005187000181539242
1,accessible,0.0049305816320096155
1,upgrade,0.004883455058583152
1,woman,0.004201595491877934
1,ensure,0.004185713900758122
1,replace,0.0038246259693908062
1,public,0.0038116377118957508
1,food,0.003747635770786582
1,capacity,0.0036432003217039596
1,heritage,0.002807237895744517
1,resident,0.0020798205642612723
2,purchase,0.301452120069705
2,equipment,0.2416354125100611
2,new,0.09722544672982827
2,community,0.060136509222239024
2,safety,0.05624525978581719
2,provide,0.056124366683082176
2,enhance,0.054285289874153576
2,program,0.05262319079223692
2,increase,0.052299765611011816
2,improve,0.05107893111407991
2,club,0.04939543995388003
2,enable,0.041701195451039584
2,area,0.04112838857685793
2,child,0.039391934633794534
2,sport,0.03714836817201229
2,quality,0.03683784182055918
2,help,0.03657167035377015
2,youth,0.03649214575920871
2,training,0.035668622122714926
2,organization,0.03450406167902773
2,activity,0.031538460780957234
2,age,0.030248939677775043
2,member,0.029116455814891758
2,order,0.028620242759386936
2,recreational,0.027949272960744505
2,support,0.027461201806469354
2,service,0.02715330694225223
2,event,0.02711425089320459
2,volunteer,0.026018595003701205
2,participate,0.0254531564034286
2,install,0.025346653979779456
2,opportunity,0.025331264285623014
2,access,0.02492225208592222
2,senior,0.02446414797302886
2,facility,0.021922351766645434
2,continue,0.021484104335714238
2,upgrade,0.020874113040159195
2,local,0.02057411897304221
2,physical,0.020030319706904574
2,purchasing,0.019986726912601126
2,group,0.0195053181286625
2,centre,0.01925384479138566
2,offer,0.01822016479936009
2,expand,0.017195059479155464
2,ensure,0.01718523391861039
2,public,0.01589626128981242
2,young,0.015708173549064213
2,skill,0.015664906750224757
2,promote,0.014993747210217522
2,disability,0.014965791589783355
2,resident,0.014599670362597397
2,assist,0.014389006373900625
2,festival,0.014139486783466092
2,replace,0.014036338576500131
2,need,0.013987501632192579
2,make,0.013513659273656792
2,learn,0.01284940904925614
2,art,0.012611402808694367
2,space,0.012467547838817398
2,development,0.012331025423160079
