clusters3,Features3,weights
0,purchase,0.14425968842565673
0,equipment,0.12939985122963144
0,community,0.09275826145741946
0,new,0.08091811835944684
0,facility,0.08065662184377455
0,improve,0.06634144049250204
0,safety,0.06517627885498717
0,accessible,0.052322689637698226
0,install,0.05226907958159538
0,make,0.05152696947111151
0,provide,0.051170871626992624
0,upgrade,0.05114043910006935
0,increase,0.051060650076425976
0,replace,0.04679906011510021
0,club,0.04582885267288603
0,enhance,0.045418018408242125
0,area,0.0444352240961875
0,renovate,0.04298122434341671
0,activity,0.03929472203598587
0,program,0.03775618771332771
0,centre,0.03761845495558423
0,space,0.037101039460296505
0,recreational,0.03639061991430568
0,member,0.03519423197268696
0,access,0.03398369330577145
0,ensure,0.03260502099256295
0,building,0.031142348858399713
0,enable,0.031141936764066264
0,child,0.03032920547036116
0,sport,0.030169725576723816
0,youth,0.029980628480689407
0,help,0.029889067306103335
0,age,0.029557847401132858
0,quality,0.027669756290260705
0,organization,0.027491555569257378
0,group,0.027264838207737358
0,continue,0.02664621777915722
0,order,0.026154718983536825
0,senior,0.024640047220739085
0,event,0.024528563148840034
0,resident,0.022584943568920525
0,participate,0.02244691044191431
0,physical,0.022118732540911415
0,service,0.02190061950186579
0,purchasing,0.02170568725872815
0,opportunity,0.020266908769164708
0,local,0.019921478065769327
0,training,0.019610289332956367
0,disability,0.018423430498905654
0,support,0.017618825365989885
0,public,0.01693147484619772
0,cost,0.016486052959004176
0,volunteer,0.01606330120957207
0,create,0.015660542812379157
0,offer,0.015252022538407604
0,include,0.015135475705672818
0,cultural,0.01457873329748973
0,social,0.014085329354854096
0,expand,0.0124597061259837
0,need,0.01208792759667261
0,capacity,0.01153327687674402
0,health,0.010750382830462826
0,assist,0.010685219849648282
0,art,0.010472456902224071
0,county,0.01018913103897546
0,staff,0.010002444449314606
0,promote,0.009924967391836174
0,young,0.009503572421705034
0,family,0.009134481939345266
0,adult,0.008998567187276672
0,skill,0.008799866959405189
0,heritage,0.008580969827173218
0,festival,0.007987794684618542
0,learn,0.007870777548880723
0,food,0.007755326037957328
0,develop,0.007112302111798966
0,fund,0.007033498941068725
0,hire,0.006638220180243454
0,development,0.006553550142834003
0,region,0.006103433088090664
0,active,0.006082465978596628
0,resource,0.006076770397345072
0,woman,0.005787952353001553
0,work,0.005547288396192475
0,build,0.005442476311367109
0,establish,0.005405485007727528
0,school,0.004787942934479928
0,deliver,0.004775298995364754
0,project,0.003854560686877062
0,implement,0.003747102089441988
0,impact,0.0036838303411215936
0,workshop,0.003664123636483287
0,awareness,0.003551779003188565
0,culture,0.0035046898245993017
0,education,0.0032373880469130675
0,plan,0.003215419475083351
0,initiative,0.003059750272119929
0,engage,0.002816327570880184
0,life,0.0022289556635136836
0,coordinator,0.0018894935438882716
1,program,0.10279364195026273
1,support,0.08694703163148279
1,community,0.06755487337863132
1,develop,0.06304340707319321
1,provide,0.06138052029322648
1,increase,0.06036146962710598
1,youth,0.06006013815360415
1,organization,0.056411624585157916
1,service,0.051559628997766664
1,volunteer,0.05024976242515941
1,capacity,0.047231505034498585
1,staff,0.04160415647236736
1,hire,0.04000272434466999
1,development,0.03949319805586779
1,child,0.0394253685196883
1,training,0.03762070370994766
1,area,0.03397911743444277
1,help,0.03284804993372891
1,cost,0.03222405065728038
1,enhance,0.032132729511481314
1,coordinator,0.031986732323701084
1,project,0.03162206718041744
1,expand,0.03159692900033755
1,plan,0.030861761674003053
1,build,0.030197912507872626
1,local,0.029909907501023403
1,implement,0.02934493627745055
1,new,0.029051315995311768
1,art,0.028754788055614818
1,create,0.028641161724235694
1,resource,0.028071235642363652
1,opportunity,0.027468822429096172
1,deliver,0.027314801640545065
1,awareness,0.026713574782094154
1,family,0.02621180321490994
1,promote,0.026095798556725936
1,activity,0.02597924559653
1,school,0.025891716342676032
1,skill,0.025767482154631503
1,centre,0.025509789661267268
1,county,0.02538930042120513
1,assist,0.024965260448845256
1,need,0.02438015695632337
1,festival,0.02415563683506344
1,region,0.02395947377880903
1,establish,0.022549260232878017
1,education,0.022091331438968458
1,fund,0.021920839916714816
1,work,0.021472431031800708
1,health,0.02131265243300763
1,cultural,0.020707783309870484
1,social,0.0203620172373594
1,workshop,0.020051194231906797
1,event,0.01996829802802283
1,group,0.019395345084500706
1,access,0.01906326663723704
1,public,0.019051354091819704
1,woman,0.01894411305395619
1,enable,0.018413437907311314
1,improve,0.01836428042690327
1,disability,0.017567676032819383
1,learn,0.017253356880999916
1,purchasing,0.01710249684151929
1,young,0.0170994905233653
1,senior,0.016679889958834355
1,include,0.016649047956727222
1,offer,0.01649510079399073
1,engage,0.01601702397128021
1,order,0.015858104319463773
1,member,0.015212190743631535
1,initiative,0.015177421555051253
1,adult,0.014697190149474135
1,heritage,0.014617634017367202
1,age,0.014531945019767012
1,equipment,0.014358249913735369
1,food,0.014098712288727236
1,resident,0.013398226052736743
1,continue,0.013297325552922148
1,space,0.013012595943362834
1,building,0.01282263311458238
1,recreational,0.012515675266252059
1,sport,0.011318689060675347
1,physical,0.010582731823325064
1,impact,0.010441592015123563
1,ensure,0.010310636259800512
1,participate,0.009636644891189436
1,culture,0.009056411895785769
1,quality,0.008872258858179853
1,make,0.007670365391532509
1,club,0.007115385642381603
1,safety,0.006638584738028766
1,upgrade,0.006287963424899918
1,facility,0.006140668396526849
1,active,0.005896485500130689
1,renovate,0.005888532937246021
1,life,0.005850325668735182
1,accessible,0.0056619295880557885
1,purchase,0.005606316497147801
1,replace,0.0017579111345148617
1,install,0.0017565243575378695
2,life,0.2731453320689958
2,community,0.24482534877748663
2,impact,0.2305262424797751
2,initiative,0.22965325346728618
2,help,0.20064669000407903
2,active,0.09583310013574256
2,youth,0.08776771390551488
2,heritage,0.08499848825651257
2,engage,0.07298075581797894
2,art,0.07081799871136783
2,building,0.0671654746591669
2,culture,0.0670135084614244
2,child,0.06619826120636063
2,support,0.06591786754735898
2,physical,0.06525598262755969
2,program,0.06411384468729787
2,skill,0.060930941147490994
2,enhance,0.05330091969220671
2,activity,0.04583322863753418
2,development,0.03975657615082541
2,develop,0.038932913126269994
2,social,0.03648118678069382
2,space,0.03319506652415642
2,need,0.03058310614724029
2,create,0.03046174291618761
2,cultural,0.030348336153599036
2,expand,0.02831013769398698
2,new,0.026864099492970972
2,accessible,0.02613401345386078
2,participate,0.024486917088782565
2,access,0.02430622885091535
2,opportunity,0.02340698924345258
2,learn,0.02281767742912745
2,improve,0.02212665756595832
2,service,0.019281999022925836
2,install,0.018557900543596583
2,upgrade,0.018542613296546426
2,food,0.018199136082473307
2,deliver,0.01804650981099018
2,adult,0.017421949202392182
2,provide,0.017129046146620565
2,build,0.017041883398715957
2,assist,0.01671920869984725
2,staff,0.016125010847789806
2,hire,0.015835130399630908
2,resource,0.015597485290945451
2,purchase,0.01557418915879287
2,group,0.015329004654906721
2,make,0.014410401399264514
2,work,0.014096939888834608
